node_id:ID,name
a186,"Alcott, Louisa May"
a187,"Troward, T. (Thomas)"
a188,"Dolbey, Robert Valentine"
a189,"Gandhi, Mahatma"
a190,"Carr, John, Sir"
a191,"Stockton, Frank Richard"
a192,"Yeardley, John"
a193,"Venables, Edmund"
a194,"Musick, John R. (John Roy)"
a195,"Oppenheim, E. Phillips (Edward Phillips)"
a196,"Vachell, Horace Annesley"
a197,"Fletcher, J. S. (Joseph Smith)"
a198,"Bowman, Earl Wayland"
a199,"Mill, John Stuart"
a200,"Garvice, Charles"
a201,"Wells, Philip P. (Philip Patterson)"
a202,"Locker, Arthur"
a203,"Howard, J. E."
a204,"Bull, Thomas"
a205,"Clarkson, Thomas"
a206,"Carter, F. A. (Freeland A.)"
a207,"Long, William J. (William Joseph)"
a208,"Bullen, A. H. (Arthur Henry)"
a209,"Livingstone, David"
a210,"Waterloo, Stanley"
a211,"Brampton, Henry Hawkins, Baron"
a212,"Guest, Edgar A. (Edgar Albert)"
a213,"Van Dyke, Henry"
a214,"Harkness, Peter T."
a215,"McCracken, Elizabeth"
a216,"Roosevelt, Franklin D. (Franklin Delano)"
a217,"Drayton, Daniel"
a218,"Isham, Frederic Stewart"
a219,"Bilbrough, E. Ernest"
a220,"Raine, William MacLeod"
a221,"Jellicoe, John Rushworth"
a222,"Shakespeare, William"
a223,"Merrill, Frank T."
a224,"Hubbard, Elbert"
a225,"Dulabone, Chris"
a226,"Lewes, George Henry"
a227,"Galt, John"
a228,"Mundy, Talbot"
a229,"Gale, Zona"
a230,"McCabe, Joseph"
a231,"Morley, Henry"
a232,"Hughes, Louis"
a233,"Perry, Nora"
a234,"Spyri, Johanna"
a235,"Eddy, Mary Baker"
a236,"Mackay, Isabel Ecclestone"
a237,"Herrman, Karl Stephen"
a238,"Train, Arthur Cheney"
a239,"Chambers, Robert W. (Robert William)"
a240,"Lansing, Robert"
a241,"Grinnell, George Bird"
a242,"Doyle, Arthur Conan"
a243,"Le Gallienne, Richard"
a244,"Brown, William Wells"
a245,"Greene, Homer"
a246,"De La Pasture, Henry, Mrs."
a247,"Blaisdell, Albert F. (Albert Franklin)"
a248,"Turnbull, Lawrence, Mrs."
a249,"Flaubert, Gustave"
a250,"Yeats, W. B. (William Butler)"
a251,"Gregory, Augustus Charles"
a252,"Eliot, Ethel Cook"
a253,"Hope, Laura Lee"
a254,"Burnett, Frances Hodgson"
a255,"Brooke, L. Leslie (Leonard Leslie)"
a256,"Hammerton, John Alexander, Sir"
a257,"Wace"
a258,"White, William Patterson"
a259,"Copplestone, Bennet"
a260,"Freeman, R. Austin (Richard Austin)"
a261,"Lord, John"
a262,"Atticus"
a263,"Alcott, William A. (William Andrus)"
a264,"Smith, C. Alphonso (Charles Alphonso)"
a265,"Root, Elihu"
a266,"Seccombe, Thomas"
a267,"Summerhayes, Martha"
a268,"Powers, Leland Todd"
a269,"Green, Alice Stopford"
a270,"Trask, Katrina"
a271,"Austen, Jane"
a272,"Shaw, Bernard"
a273,"McGaffey, Kenneth"
a274,"Dell, Ethel M. (Ethel May)"
a275,"Carlyle, Thomas"
a276,"Clinton, Bill"
a277,"Bridges, Victor"
a278,"Smith, R. Cadwallader"
a279,"Cotter, Frank J."
a280,"Jackson, Helen Hunt"
a281,"Adams, E. E. (Ezra Eastman)"
a282,"Hay, John"
a283,"American Tract Society"
a284,"W. M."
