node_id:ID,name
197,"Fletcher, J. S. (Joseph Smith)"
198,"Bowman, Earl Wayland"
199,"Mill, John Stuart"
200,"Garvice, Charles"
201,"Wells, Philip P. (Philip Patterson)"
202,"Locker, Arthur"
203,"Howard, J. E."
204,"Bull, Thomas"
205,"Clarkson, Thomas"
206,"Carter, F. A. (Freeland A.)"
207,"Long, William J. (William Joseph)"
208,"Bullen, A. H. (Arthur Henry)"
209,"Livingstone, David"
210,"Waterloo, Stanley"
211,"Brampton, Henry Hawkins, Baron"
212,"Guest, Edgar A. (Edgar Albert)"
213,"Van Dyke, Henry"
214,"Harkness, Peter T."
215,"McCracken, Elizabeth"
216,"Roosevelt, Franklin D. (Franklin Delano)"
217,"Drayton, Daniel"
218,"Isham, Frederic Stewart"
219,"Bilbrough, E. Ernest"
220,"Raine, William MacLeod"
221,"Jellicoe, John Rushworth"
222,"Shakespeare, William"
223,"Merrill, Frank T."
224,"Hubbard, Elbert"
225,"Dulabone, Chris"
226,"Lewes, George Henry"
227,"Galt, John"
228,"Mundy, Talbot"
229,"Gale, Zona"
230,"McCabe, Joseph"
231,"Morley, Henry"
232,"Hughes, Louis"
233,"Perry, Nora"
234,"Spyri, Johanna"
235,"Eddy, Mary Baker"
236,"Mackay, Isabel Ecclestone"
237,"Herrman, Karl Stephen"
238,"Train, Arthur Cheney"
239,"Chambers, Robert W. (Robert William)"
240,"Lansing, Robert"
241,"Grinnell, George Bird"
242,"Doyle, Arthur Conan"
243,"Le Gallienne, Richard"
244,"Brown, William Wells"
245,"Greene, Homer"
246,"De La Pasture, Henry, Mrs."
247,"Blaisdell, Albert F. (Albert Franklin)"
248,"Turnbull, Lawrence, Mrs."
249,"Flaubert, Gustave"
250,"Yeats, W. B. (William Butler)"
251,"Gregory, Augustus Charles"
252,"Eliot, Ethel Cook"
253,"Hope, Laura Lee"
254,"Burnett, Frances Hodgson"
255,"Brooke, L. Leslie (Leonard Leslie)"
256,"Hammerton, John Alexander, Sir"
257,"Wace"
258,"White, William Patterson"
259,"Copplestone, Bennet"
260,"Freeman, R. Austin (Richard Austin)"
261,"Lord, John"
262,"Atticus"
263,"Alcott, William A. (William Andrus)"
264,"Smith, C. Alphonso (Charles Alphonso)"
265,"Root, Elihu"
266,"Seccombe, Thomas"
267,"Summerhayes, Martha"
268,"Powers, Leland Todd"
269,"Green, Alice Stopford"
270,"Trask, Katrina"
271,"Austen, Jane"
272,"Shaw, Bernard"
273,"McGaffey, Kenneth"
274,"Dell, Ethel M. (Ethel May)"
275,"Carlyle, Thomas"
276,"Clinton, Bill"
277,"Bridges, Victor"
278,"Smith, R. Cadwallader"
279,"Cotter, Frank J."
280,"Jackson, Helen Hunt"
281,"Adams, E. E. (Ezra Eastman)"
282,"Hay, John"
283,"American Tract Society"
284,"W. M."
285,"Crawford, F. Marion (Francis Marion)"
286,"Euripides"
287,"Calkin, John Baptiste"
288,"Conrad, Joseph"
289,"Pierpont, James"
290,"Browne, Theo. Stephenson"
291,"Stevenson, Augusta"
292,"Clough, Ethlyn T."
293,"Soissons, Count de"
294,"Child, Lydia Maria"
